sikuchoson,T,M,F,F_T,F_M,F_F,huosehold,Area
千葉市, 977306,481949,495357,28692,13853,14839,454588,213.58
中央区, 212383,106138,106245,6284,2779,3505,110791,40.93
花見川区, 176909,87063,89846,4876,2462,2414,82086,30.23
稲毛区, 160177,80014,80163,4376,2166,2210,75662,19
若葉区, 146144,72463,73681,3980,1932,2048,65246,57.41
緑区, 129748,63208,66540,1639,793,846,51851,44.81
美浜区, 151945,73063,78882,7537,3721,3816,68952,21.2
銚子市, 56680,27423,29257,2192,1134,1058,25195,69.54
市川市, 495402,250244,245158,17509,8747,8762,244101,56.22
船橋市, 644443,319021,325422,19021,9252,9769,293686,82.12
館山市, 44523,21558,22965,406,115,291,20319,62.02
木更津市, 136227,68530,67697,2512,1106,1406,59141,95.56
松戸市, 496350,245918,250432,17210,8320,8890,232895,59.5
野田市, 152204,75939,76265,3594,1825,1769,64304,95.87
茂原市, 86204,42321,43883,1356,507,849,37511,82.89
成田市, 131227,65485,65742,5766,2964,2802,59729,165.61
佐倉市, 166996,81470,85526,3311,1511,1800,70453,82.11
東金市, 57508,28855,28653,1606,748,858,25508,71.54
旭市, 62920,30988,31932,1383,728,655,24488,117.6
習志野市, 176311,87857,88454,4476,2059,2417,80295,20.9
柏市, 430096,212368,217728,9767,4726,5041,191832,105.12
勝浦市, 16389,8346,8043,164,84,80,7983,35.99
市原市, 267074,137011,130063,5931,2686,3245,118559,233.57
流山市, 205210,101001,104209,3280,1596,1684,85953,32.6
八千代市, 201240,98806,102434,5654,2655,2999,86988,45.7
我孫子市, 130159,63350,66809,1908,900,1008,57068,39.98
鴨川市, 31631,14994,16637,506,187,319,14562,71.48
鎌ケ谷市, 109916,53513,56403,1737,779,958,47891,20.13
君津市, 81132,41241,39891,887,336,551,35229,112.2
富津市, 41531,21006,20525,483,254,229,17701,80.71
浦安市, 169407,82341,87066,3958,1941,2017,79910,17.3
四街道市, 94278,46662,47616,2453,1370,1083,39157,28.68
袖ケ浦市, 64359,32443,31916,829,403,426,25983,74.96
八街市, 66562,33716,32846,2437,1241,1196,28111,63.09
印西市, 104888,51688,53200,2173,981,1192,39447,100.62
白井市, 61977,30635,31342,1268,706,562,24304,30.91
富里市, 49203,24974,24229,2753,1408,1345,21846,46.91
南房総市, 34936,16638,18298,350,100,250,14645,106.63
匝瑳市, 34296,16893,17403,416,152,264,12886,86.75
香取市, 70948,34916,36032,909,382,527,27537,209.64
山武市, 47544,23733,23811,1081,590,491,19393,106.72
いすみ市, 34878,17039,17839,454,191,263,14521,90.91
大網白里市, 47782,23461,24321,660,254,406,19805,48.99
酒々井町, 20506,10062,10444,463,193,270,9321,14.33
栄町, 19869,9757,10112,254,101,153,8286,29
神崎町, 5690,2865,2825,126,71,55,2286,15.83
多古町, 13363,6750,6613,363,203,160,5007,54.34
東庄町, 12943,6427,6516,228,153,75,4600,41.64
九十九里町, 14211,7019,7192,272,142,130,6122,23.45
芝山町, 6907,3422,3485,174,74,100,2515,30.75
横芝光町, 21727,10566,11161,328,134,194,8302,57.24
一宮町, 11906,5825,6081,101,34,67,5076,16.89
睦沢町, 6678,3223,3455,41,8,33,2476,22.32
長生村, 13612,6669,6943,99,29,70,5628,26.59
白子町, 10078,5018,5060,106,52,54,4149,25.76
長柄町, 6550,3224,3326,56,20,36,2521,24.58
長南町, 7040,3459,3581,25,5,20,2638,34.88
大多喜町, 8615,4159,4456,78,36,42,3351,41.15
御宿町, 6756,3210,3546,41,16,25,3083,11.34
鋸南町, 6712,3232,3480,76,30,46,2970,19.5
